GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
879079583,SushiGo,3,GAME_OVER,98,0,4,51,rhea,33.0,34.0,34.0,44.0,Basic MCTS,mcts,rmhc,4,rhea,4,3,3,2,2,1,Basic MCTS,1,mcts,rmhc,Basic MCTS,rhea,rmhc,mcts,2
-619666105,SushiGo,3,GAME_OVER,97,0,4,52,rhea,35.0,43.0,36.0,44.0,Basic MCTS,mcts,rmhc,4,rhea,4,2,2,3,3,1,Basic MCTS,1,mcts,rmhc,Basic MCTS,rhea,rmhc,mcts,2
503938916,SushiGo,3,GAME_OVER,97,0,4,53,rhea,35.0,42.0,30.0,46.0,Basic MCTS,mcts,rmhc,3,rhea,3,2,2,4,4,1,Basic MCTS,1,mcts,rmhc,Basic MCTS,rhea,rmhc,mcts,2
346665430,SushiGo,3,GAME_OVER,100,0,4,54,rhea,37.0,38.0,38.0,24.0,Basic MCTS,rmhc,mcts,3,rhea,3,2,2,1,1,4,Basic MCTS,4,rmhc,mcts,Basic MCTS,rhea,mcts,rmhc,3
879079583,SushiGo,3,GAME_OVER,96,0,4,55,rhea,24.0,34.0,47.0,23.0,Basic MCTS,rmhc,mcts,3,rhea,3,2,2,1,1,4,Basic MCTS,4,rmhc,mcts,Basic MCTS,rhea,mcts,rmhc,3
-619666105,SushiGo,3,GAME_OVER,96,0,4,56,rhea,32.0,40.0,43.0,23.0,Basic MCTS,rmhc,mcts,3,rhea,3,2,2,1,1,4,Basic MCTS,4,rmhc,mcts,Basic MCTS,rhea,mcts,rmhc,3
503938916,SushiGo,3,GAME_OVER,96,0,4,57,rhea,34.0,45.0,45.0,16.0,Basic MCTS,rmhc,mcts,3,rhea,3,2,2,1,1,4,Basic MCTS,4,rmhc,mcts,Basic MCTS,rhea,mcts,rmhc,3
346665430,SushiGo,3,GAME_OVER,98,0,4,58,rhea,47.0,38.0,33.0,27.0,mcts,Basic MCTS,rmhc,1,rhea,1,2,2,3,3,4,mcts,4,Basic MCTS,rmhc,mcts,rhea,rmhc,Basic MCTS,1
879079583,SushiGo,3,GAME_OVER,96,0,4,59,rhea,39.0,39.0,19.0,37.0,mcts,Basic MCTS,rmhc,1,rhea,1,2,2,4,4,3,mcts,3,Basic MCTS,rmhc,mcts,rhea,rmhc,Basic MCTS,1
-619666105,SushiGo,3,GAME_OVER,98,0,4,60,rhea,37.0,26.0,19.0,32.0,mcts,Basic MCTS,rmhc,1,rhea,1,3,3,4,4,2,mcts,2,Basic MCTS,rmhc,mcts,rhea,rmhc,Basic MCTS,1
