GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-2039767727,Connect4,4,GAME_OVER,9,0,2,66,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1908179359,Connect4,3,GAME_OVER,7,0,2,67,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1115136563,Connect4,3,GAME_OVER,7,0,2,68,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1493045323,Connect4,3,GAME_OVER,7,0,2,69,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-394703714,Connect4,6,GAME_OVER,13,0,2,70,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-432712488,Connect4,6,GAME_OVER,13,0,2,71,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
491282519,Connect4,3,GAME_OVER,7,0,2,72,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-884033504,Connect4,3,GAME_OVER,7,0,2,73,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
991772015,Connect4,4,GAME_OVER,9,0,2,74,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-835279488,Connect4,3,GAME_OVER,7,0,2,75,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
288423849,Connect4,7,GAME_OVER,15,0,2,76,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
306462715,Connect4,5,GAME_OVER,11,0,2,77,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1595934290,Connect4,8,GAME_OVER,17,0,2,78,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
372545689,Connect4,4,GAME_OVER,9,0,2,79,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1791317608,Connect4,4,GAME_OVER,9,0,2,80,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
594493312,Connect4,4,GAME_OVER,9,0,2,81,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1375946348,Connect4,3,GAME_OVER,7,0,2,82,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-1004766817,Connect4,3,GAME_OVER,7,0,2,83,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
714044006,Connect4,3,GAME_OVER,7,0,2,84,Basic MCTS,-1.0,1.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
346665430,Connect4,4,GAME_OVER,9,0,2,85,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
879079583,Connect4,3,GAME_OVER,7,0,2,86,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-619666105,Connect4,3,GAME_OVER,7,0,2,87,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
503938916,Connect4,3,GAME_OVER,7,0,2,88,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-428737539,Connect4,6,GAME_OVER,13,0,2,89,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1745970416,Connect4,4,GAME_OVER,9,0,2,90,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1436161366,Connect4,3,GAME_OVER,7,0,2,91,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1151041315,Connect4,3,GAME_OVER,7,0,2,92,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
697067980,Connect4,3,GAME_OVER,7,0,2,93,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1168140970,Connect4,4,GAME_OVER,9,0,2,94,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1491060889,Connect4,6,GAME_OVER,13,0,2,95,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1819802610,Connect4,5,GAME_OVER,11,0,2,96,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-2121274456,Connect4,4,GAME_OVER,9,0,2,97,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
259280696,Connect4,5,GAME_OVER,11,0,2,98,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1706137030,Connect4,3,GAME_OVER,7,0,2,99,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
545138396,Connect4,3,GAME_OVER,7,0,2,100,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1376458976,Connect4,3,GAME_OVER,7,0,2,101,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1195311045,Connect4,5,GAME_OVER,11,0,2,102,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
813477029,Connect4,3,GAME_OVER,7,0,2,103,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1466178614,Connect4,4,GAME_OVER,9,0,2,104,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-118322159,Connect4,3,GAME_OVER,7,0,2,105,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1428166355,Connect4,3,GAME_OVER,7,0,2,106,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1144294523,Connect4,3,GAME_OVER,7,0,2,107,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
2100098225,Connect4,3,GAME_OVER,7,0,2,108,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
23994827,Connect4,3,GAME_OVER,7,0,2,109,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1662792176,Connect4,3,GAME_OVER,7,0,2,110,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
2013120665,Connect4,3,GAME_OVER,7,0,2,111,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1880183632,Connect4,4,GAME_OVER,9,0,2,112,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1377239692,Connect4,9,GAME_OVER,19,0,2,113,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1795532617,Connect4,5,GAME_OVER,11,0,2,114,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1548656463,Connect4,3,GAME_OVER,7,0,2,115,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-653656736,Connect4,3,GAME_OVER,7,0,2,116,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-400394132,Connect4,5,GAME_OVER,11,0,2,117,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1422203009,Connect4,3,GAME_OVER,7,0,2,118,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1113178468,Connect4,3,GAME_OVER,7,0,2,119,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-175367348,Connect4,3,GAME_OVER,7,0,2,120,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1362911089,Connect4,6,GAME_OVER,13,0,2,121,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-347120262,Connect4,7,GAME_OVER,15,0,2,122,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1416514647,Connect4,3,GAME_OVER,7,0,2,123,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1570736736,Connect4,3,GAME_OVER,7,0,2,124,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1532681659,Connect4,3,GAME_OVER,7,0,2,125,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
2038358424,Connect4,3,GAME_OVER,7,0,2,126,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1950377550,Connect4,5,GAME_OVER,11,0,2,127,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-389679841,Connect4,8,GAME_OVER,17,0,2,128,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1652369011,Connect4,6,GAME_OVER,13,0,2,129,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
649728961,Connect4,3,GAME_OVER,7,0,2,130,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1939385821,Connect4,3,GAME_OVER,7,0,2,131,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-765151654,Connect4,3,GAME_OVER,7,0,2,132,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-382843140,Connect4,3,GAME_OVER,7,0,2,133,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1616233144,Connect4,3,GAME_OVER,7,0,2,134,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1825767405,Connect4,3,GAME_OVER,7,0,2,135,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1681345762,Connect4,7,GAME_OVER,15,0,2,136,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1466223696,Connect4,3,GAME_OVER,7,0,2,137,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-898042700,Connect4,3,GAME_OVER,7,0,2,138,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-622095176,Connect4,3,GAME_OVER,7,0,2,139,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1621553363,Connect4,3,GAME_OVER,7,0,2,140,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
2021511387,Connect4,6,GAME_OVER,13,0,2,141,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1677040338,Connect4,3,GAME_OVER,7,0,2,142,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
1955989905,Connect4,3,GAME_OVER,7,0,2,143,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1876231119,Connect4,3,GAME_OVER,7,0,2,144,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-1294795098,Connect4,3,GAME_OVER,7,0,2,145,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
127372284,Connect4,3,GAME_OVER,7,0,2,146,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
-991207967,Connect4,3,GAME_OVER,7,0,2,147,Basic MCTS,-1.0,1.0,RMHC,2,Basic MCTS,2,1,1,RMHC,RMHC,Basic MCTS,0
