GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-765151654,SushiGo,3,GAME_OVER,63,0,2,49,Basic MCTS,44.0,63.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-382843140,SushiGo,3,GAME_OVER,61,0,2,50,Basic MCTS,49.0,49.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
1616233144,SushiGo,3,GAME_OVER,62,0,2,51,Basic MCTS,36.0,50.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1825767405,SushiGo,3,GAME_OVER,61,0,2,52,Basic MCTS,44.0,44.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
-1681345762,SushiGo,3,GAME_OVER,61,0,2,53,Basic MCTS,49.0,67.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1466223696,SushiGo,3,GAME_OVER,61,0,2,54,Basic MCTS,36.0,47.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-898042700,SushiGo,3,GAME_OVER,62,0,2,55,Basic MCTS,46.0,58.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-622095176,SushiGo,3,GAME_OVER,61,0,2,56,Basic MCTS,42.0,46.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1621553363,SushiGo,3,GAME_OVER,61,0,2,57,Basic MCTS,41.0,63.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
2021511387,SushiGo,3,GAME_OVER,60,0,2,58,Basic MCTS,36.0,59.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1677040338,SushiGo,3,GAME_OVER,61,0,2,59,Basic MCTS,34.0,57.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1955989905,SushiGo,3,GAME_OVER,61,0,2,60,Basic MCTS,35.0,54.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1876231119,SushiGo,3,GAME_OVER,61,0,2,61,Basic MCTS,29.0,49.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1294795098,SushiGo,3,GAME_OVER,60,0,2,62,Basic MCTS,38.0,34.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
127372284,SushiGo,3,GAME_OVER,60,0,2,63,Basic MCTS,38.0,56.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-991207967,SushiGo,3,GAME_OVER,61,0,2,64,Basic MCTS,49.0,50.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1049258221,SushiGo,3,GAME_OVER,60,0,2,65,Basic MCTS,47.0,55.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-2039767727,SushiGo,3,GAME_OVER,60,0,2,66,Basic MCTS,42.0,46.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1908179359,SushiGo,3,GAME_OVER,62,0,2,67,Basic MCTS,51.0,60.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
1115136563,SushiGo,3,GAME_OVER,60,0,2,68,Basic MCTS,46.0,56.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-1493045323,SushiGo,3,GAME_OVER,62,0,2,69,Basic MCTS,42.0,65.0,Basic MCTS,2,Basic MCTS,2,1,1,Basic MCTS,Basic MCTS,Basic MCTS,0
-394703714,SushiGo,3,GAME_OVER,61,0,2,70,Basic MCTS,40.0,40.0,Basic MCTS,1,Basic MCTS,1,2,2,Basic MCTS,Basic MCTS,Basic MCTS,1
