GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-1466178614,SushiGo,3,GAME_OVER,81,0,3,62,Basic MCTS,53.0,41.0,54.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
-118322159,SushiGo,3,GAME_OVER,81,0,3,63,Basic MCTS,40.0,42.0,51.0,rhea,mcts,3,Basic MCTS,3,2,2,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
-1428166355,SushiGo,3,GAME_OVER,81,0,3,64,Basic MCTS,37.0,36.0,49.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
1144294523,SushiGo,3,GAME_OVER,82,0,3,65,Basic MCTS,35.0,34.0,45.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
2100098225,SushiGo,3,GAME_OVER,82,0,3,66,Basic MCTS,31.0,41.0,46.0,rhea,mcts,3,Basic MCTS,3,2,2,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
23994827,SushiGo,3,GAME_OVER,82,0,3,67,Basic MCTS,38.0,36.0,53.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
1662792176,SushiGo,3,GAME_OVER,81,0,3,68,Basic MCTS,35.0,39.0,42.0,rhea,mcts,3,Basic MCTS,3,2,2,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
2013120665,SushiGo,3,GAME_OVER,81,0,3,69,Basic MCTS,39.0,42.0,51.0,rhea,mcts,3,Basic MCTS,3,2,2,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
-1880183632,SushiGo,3,GAME_OVER,82,0,3,70,Basic MCTS,45.0,44.0,44.0,rhea,mcts,1,Basic MCTS,1,3,3,2,rhea,2,mcts,rhea,Basic MCTS,mcts,1
-1377239692,SushiGo,3,GAME_OVER,83,0,3,71,Basic MCTS,41.0,42.0,44.0,rhea,mcts,3,Basic MCTS,3,2,2,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
1795532617,SushiGo,3,GAME_OVER,82,0,3,72,Basic MCTS,45.0,37.0,52.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
-1548656463,SushiGo,3,GAME_OVER,82,0,3,73,Basic MCTS,36.0,46.0,45.0,rhea,mcts,3,Basic MCTS,3,1,1,2,rhea,2,mcts,rhea,Basic MCTS,mcts,0
-653656736,SushiGo,3,GAME_OVER,83,0,3,74,Basic MCTS,64.0,34.0,46.0,rhea,mcts,1,Basic MCTS,1,3,3,2,rhea,2,mcts,rhea,Basic MCTS,mcts,1
-400394132,SushiGo,3,GAME_OVER,83,0,3,75,Basic MCTS,49.0,38.0,50.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
-1422203009,SushiGo,3,GAME_OVER,81,0,3,76,Basic MCTS,41.0,50.0,46.0,rhea,mcts,3,Basic MCTS,3,1,1,2,rhea,2,mcts,rhea,Basic MCTS,mcts,0
-1113178468,SushiGo,3,GAME_OVER,81,0,3,77,Basic MCTS,31.0,36.0,43.0,rhea,mcts,3,Basic MCTS,3,2,2,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
-175367348,SushiGo,3,GAME_OVER,81,0,3,78,Basic MCTS,50.0,44.0,53.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
1362911089,SushiGo,3,GAME_OVER,83,0,3,79,Basic MCTS,40.0,30.0,61.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
-347120262,SushiGo,3,GAME_OVER,81,0,3,80,Basic MCTS,30.0,29.0,41.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
1416514647,SushiGo,3,GAME_OVER,83,0,3,81,Basic MCTS,35.0,40.0,59.0,rhea,mcts,3,Basic MCTS,3,2,2,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
-1570736736,SushiGo,3,GAME_OVER,83,0,3,82,Basic MCTS,45.0,39.0,45.0,rhea,mcts,2,Basic MCTS,2,3,3,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
-1532681659,SushiGo,3,GAME_OVER,82,0,3,83,Basic MCTS,40.0,50.0,55.0,rhea,mcts,3,Basic MCTS,3,2,2,1,rhea,1,mcts,rhea,Basic MCTS,mcts,2
346665430,SushiGo,3,GAME_OVER,81,0,3,84,mcts,42.0,55.0,50.0,Basic MCTS,rhea,3,mcts,3,1,1,2,Basic MCTS,2,rhea,Basic MCTS,mcts,rhea,0
879079583,SushiGo,3,GAME_OVER,84,0,3,85,mcts,35.0,49.0,53.0,Basic MCTS,rhea,3,mcts,3,2,2,1,Basic MCTS,1,rhea,Basic MCTS,mcts,rhea,2
-619666105,SushiGo,3,GAME_OVER,83,0,3,86,mcts,27.0,41.0,45.0,Basic MCTS,rhea,3,mcts,3,2,2,1,Basic MCTS,1,rhea,Basic MCTS,mcts,rhea,2
